,ACFL,AMCR,AMGO,AMRE,AMRO,BAOR,BAWW,BGGN,BHCO,BLBW,BLJA,BRTH,BTNW,BWWA,CACH,CARW,CEDW,CERW,CHSP,COYE,EAPH,EATO,EAWP,ETTI,FISP,GCFL,GRCA,HOWA,INBU,KEWA,LOWA,NOCA,NOPA,OVEN,PIWA,PRAW,RBGR,REVI,RWBL,SCTA,SUTA,WBNU,WEVI,WEWA,WOTH,YBCH,YTVI,YTWA
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,6,0,0,0,12,0,0,0,1,0,0,0,0,1,0
2,9,0,0,0,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,6,0,0,0,6,0,4,0,0,0,2,7,0,1,0
3,4,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,8,0,0,0,9,0,3,0,3,0,0,6,0,4,0
4,7,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,2,0,0,0,0,0,13,0,0,0,11,0,3,0,3,0,2,2,0,3,0
5,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,4,3,2,0,0,0,5,0,0,0,0,0,9,0,0,0,6,0,4,0,2,0,0,3,0,0,0
6,8,0,0,5,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,5,0,0,0,11,0,3,0,2,0,3,9,0,3,0
7,3,3,2,2,0,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,5,0,3,0,0,1,9,0,0,0,1,0,9,2,0,0,7,0,1,0,3,1,1,0,0,0,4
8,11,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,4,0,0,0,1,0,3,0,0,0,9,1,4,0,5,0,2,4,0,1,0
9,10,0,0,1,1,0,3,1,3,0,0,0,0,0,3,2,0,2,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,4,7,0,0,0
10,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,1,4,0,0,0
11,10,0,0,1,4,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,12,0,1,0,2,0,3,7,0,1,0
12,5,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,6,0,0,0,1,3,2,0,0,0,6,0,0,0,1,0,4,0,0,0,7,0,6,0,3,0,0,2,0,3,0
13,3,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,3,0,0,0,11,0,4,0,2,0,1,3,0,0,0
14,3,0,0,1,5,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,9,0,4,0,2,0,1,2,0,1,0
15,7,0,1,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,6,5,0,0,0
16,3,0,0,0,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,8,0,0,0,1,0,8,0,0,0,5,0,6,0,1,0,2,4,0,1,0
17,8,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,4,0,0,0,0,8,0,1,0
18,1,2,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,14,0,0,0,1,0,0,0,0,0,0
19,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,0,4,0,0,0,0,0,9,0,0,0,7,0,4,0,2,0,0,3,0,2,0
20,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,1,0,7,0,0,0,1,0,4,0,0,0,6,0,1,1,3,0,5,6,0,0,0
